,stream,deploy.date,collection.date,elapsed.days,mesh,rep,month,k,mesh2,Key,Temp,Arrhenius
1,ami,3/8/14,4/5/14,28,c1,1,Mar,-0.019224503,course,ami Mar,10.601566,40.88410238
2,ami,3/8/14,4/5/14,28,c2,2,Mar,-0.019141303,course,ami Mar,10.601566,40.88410238
3,ami,3/8/14,4/5/14,28,c3,3,Mar,-0.022326283,course,ami Mar,10.601566,40.88410238
4,ami,3/8/14,4/5/14,28,c4,4,Mar,-0.019695642,course,ami Mar,10.601566,40.88410238
5,ami,3/8/14,4/5/14,28,c5,5,Mar,-0.016882141,course,ami Mar,10.601566,40.88410238
6,ami,3/8/14,4/5/14,28,f,1,Mar,-0.011379175,fine,ami Mar,10.601566,40.88410238
7,ami,3/8/14,4/5/14,28,f,2,Mar,-0.013031185,fine,ami Mar,10.601566,40.88410238
8,ami,3/8/14,4/5/14,28,f,3,Mar,-0.014109888,fine,ami Mar,10.601566,40.88410238
9,ami,3/8/14,4/5/14,28,f,4,Mar,-0.012835605,fine,ami Mar,10.601566,40.88410238
10,ami,3/8/14,4/5/14,28,f,5,Mar,-0.012369231,fine,ami Mar,10.601566,40.88410238
11,choco,3/8/14,4/5/14,28,c1,1,Mar,-0.017139379,course,choco Mar,12.36968373,40.63092226
12,choco,3/8/14,4/5/14,28,c2,2,Mar,-0.018272135,course,choco Mar,12.36968373,40.63092226
13,choco,3/8/14,4/5/14,28,c3,3,Mar,-0.015029132,course,choco Mar,12.36968373,40.63092226
14,choco,3/8/14,4/5/14,28,c4,4,Mar,-0.012934505,course,choco Mar,12.36968373,40.63092226
15,choco,3/8/14,4/5/14,28,c5,5,Mar,-0.014823988,course,choco Mar,12.36968373,40.63092226
16,choco,3/8/14,4/5/14,28,f,1,Mar,-0.010143976,fine,choco Mar,12.36968373,40.63092226
17,choco,3/8/14,4/5/14,28,f,2,Mar,-0.011651035,fine,choco Mar,12.36968373,40.63092226
18,choco,3/8/14,4/5/14,28,f,3,Mar,-0.012653148,fine,choco Mar,12.36968373,40.63092226
19,choco,3/8/14,4/5/14,28,f,4,Mar,-0.013663887,fine,choco Mar,12.36968373,40.63092226
20,choco,3/8/14,4/5/14,28,f,5,Mar,-0.01135168,fine,choco Mar,12.36968373,40.63092226
21,coon,3/8/14,4/5/14,28,c1,1,Mar,-0.013285451,course,coon Mar,12.80557808,40.56898681
22,coon,3/8/14,4/5/14,28,c2,2,Mar,-0.011995724,course,coon Mar,12.80557808,40.56898681
23,coon,3/8/14,4/5/14,28,c3,3,Mar,-0.007361718,course,coon Mar,12.80557808,40.56898681
24,coon,3/8/14,4/5/14,28,c4,4,Mar,-0.011616541,course,coon Mar,12.80557808,40.56898681
25,coon,3/8/14,4/5/14,28,c5,5,Mar,-0.014142064,course,coon Mar,12.80557808,40.56898681
26,coon,3/8/14,4/5/14,28,f,1,Mar,-0.011441647,fine,coon Mar,12.80557808,40.56898681
27,coon,3/8/14,4/5/14,28,f,2,Mar,-0.011315756,fine,coon Mar,12.80557808,40.56898681
28,coon,3/8/14,4/5/14,28,f,3,Mar,-0.011493614,fine,coon Mar,12.80557808,40.56898681
29,coon,3/8/14,4/5/14,28,f,4,Mar,-0.011310477,fine,coon Mar,12.80557808,40.56898681
30,coon,3/8/14,4/5/14,28,f,5,Mar,-0.010409648,fine,coon Mar,12.80557808,40.56898681
31,hendrick,3/8/14,4/5/14,28,c1,1,Mar,-0.036503465,course,hendrick Mar,13.79818731,40.42865084
32,hendrick,3/8/14,4/5/14,28,c2,2,Mar,-0.045198189,course,hendrick Mar,13.79818731,40.42865084
33,hendrick,3/8/14,4/5/14,28,c3,3,Mar,-0.047305771,course,hendrick Mar,13.79818731,40.42865084
34,hendrick,3/8/14,4/5/14,28,c4,4,Mar,-0.040163772,course,hendrick Mar,13.79818731,40.42865084
35,hendrick,3/8/14,4/5/14,28,c5,5,Mar,-0.035257822,course,hendrick Mar,13.79818731,40.42865084
36,hendrick,3/8/14,4/5/14,28,f,1,Mar,-0.014541875,fine,hendrick Mar,13.79818731,40.42865084
37,hendrick,3/8/14,4/5/14,28,f,2,Mar,-0.014496824,fine,hendrick Mar,13.79818731,40.42865084
38,hendrick,3/8/14,4/5/14,28,f,3,Mar,-0.014376966,fine,hendrick Mar,13.79818731,40.42865084
39,hendrick,3/8/14,4/5/14,28,f,4,Mar,-0.01503536,fine,hendrick Mar,13.79818731,40.42865084
40,hendrick,3/8/14,4/5/14,28,f,5,Mar,-0.012973615,fine,hendrick Mar,13.79818731,40.42865084
41,stamp,3/8/14,4/5/14,28,c1,1,Mar,-0.012925637,course,stamp Mar,11.40346327,40.7688873
42,stamp,3/8/14,4/5/14,28,c2,2,Mar,-0.015123306,course,stamp Mar,11.40346327,40.7688873
43,stamp,3/8/14,4/5/14,28,c3,3,Mar,-0.015566894,course,stamp Mar,11.40346327,40.7688873
44,stamp,3/8/14,4/5/14,28,c4,4,Mar,-0.013941938,course,stamp Mar,11.40346327,40.7688873
45,stamp,3/8/14,4/5/14,28,c5,5,Mar,-0.013824672,course,stamp Mar,11.40346327,40.7688873
46,stamp,3/8/14,4/5/14,28,f,1,Mar,-0.011832716,fine,stamp Mar,11.40346327,40.7688873
47,stamp,3/8/14,4/5/14,28,f,2,Mar,-0.011385523,fine,stamp Mar,11.40346327,40.7688873
48,stamp,3/8/14,4/5/14,28,f,3,Mar,-0.010685611,fine,stamp Mar,11.40346327,40.7688873
